iter	RMSE
876	2181273.202
877	2181082.417
878	2180917.772
879	2180683.556
880	2180485.59
881	2180358.708
882	2180132.612
883	2179932.791
884	2179730.935
885	2179553.376
886	2179402.992
887	2179318.527
888	2179225.434
889	2179096.746
890	2178992.209
891	2178846.754
892	2178637.847
893	2178389.717
894	2178246.706
895	2178049.959
896	2177910.908
897	2177765.793
898	2177672.678
899	2177471.81
900	2177345.984
901	2177148.292
902	2177014.322
903	2176773.569
904	2176577.945
905	2176436.907
906	2176216.754
907	2176055.481
908	2175954.826
909	2175838.793
910	2175696.58
911	2175556.664
912	2175476.163
913	2175178.451
914	2174955.221
915	2174835.389
916	2174680.618
917	2174574.973
918	2174377.174
919	2174222.176
920	2174034.762
921	2173848.597
922	2173633.846
923	2173413.909
924	2173315.766
925	2173127.339
926	2172921.201
927	2172735.266
928	2172658.436
929	2172554.724
930	2172403.515
931	2172267.105
932	2172063.933
933	2171872.013
934	2171734.163
935	2171612.866
936	2171521.528
937	2171351.603
938	2171155.397
939	2170965.666
940	2170811.495
941	2170652.555
942	2170405.271
943	2170329.244
944	2170180.532
945	2169995.363
946	2169840.631
947	2169680.313
948	2169471.31
949	2169332.498
950	2169199.253
951	2168955.031
952	2168782.384
953	2168566.109
954	2168463.806
955	2168404.003
956	2168135.076
957	2168016.889
958	2167866.967
959	2167774.157
960	2167715.22
961	2167589.221
962	2167367.695
963	2167262.859
964	2167013.841
965	2166959.187
966	2166937.462
967	2166797.579
968	2166661.982
969	2166521.589
970	2166446.504
971	2166227.596
972	2166190.261
973	2166009.183
974	2165923.976
975	2165625.158
976	2165439.225
977	2165333.657
978	2165189.743
979	2165050.314
980	2164960.945
981	2164786.185
982	2164629.504
983	2164440.779
984	2164294.026
985	2164155.117
986	2164058.489
987	2163946.994
988	2163767.032
989	2163639.112
990	2163469.267
991	2163313.278
992	2163157.966
993	2163063.561
994	2162849.941
995	2162814.361
996	2162697.96
997	2162531.299
998	2162395.042
999	2162214.861
