iter	Passed	Remaining
971	50912	1466
972	50927	1413
973	50942	1359
974	50957	1306
975	50975	1253
976	50993	1200
977	51008	1147
978	51025	1094
979	51048	1041
980	51061	988
981	51080	936
982	51103	883
983	51122	831
984	51137	778
985	51151	726
986	51175	674
987	51192	621
988	51219	569
989	51241	517
990	51271	465
991	51291	413
992	51309	361
993	51338	309
994	51354	258
995	51371	206
996	51388	154
997	51406	103
998	51428	51
999	51448	0
